Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
23,2025,Juneau,Medeia,4,M,Sublegal,120,138,23,24,24,24,23,24,,AGR,SYW,"AGR, SM, TJ",130-139
201,2025,Juneau,Medeia,13,M,Sublegal,114,138,23,23,25,22,24,24,,TJ,SYW,"AGR, SM, TJ",130-139
468,2025,St James Bay,Medeia,2,M,Sublegal,118,138,23,22,24,23,23,24,R2 REGENERATED,,,,130-139
496,2025,St James Bay,Medeia,8,M,Sublegal,113,138,23,25,25,23,24,27,L2 REGENERATED,,,,130-139
157,2017,Excursion,Medeia,,M,Sublegal,116,139,26,27,26,26,28,26,,,,,130-139
150,2017,Excursion,Medeia,,M,Sublegal,116,139,27,27,26,26,28,26,,,,,130-139
204,2025,Juneau,Medeia,13,M,Sublegal,119,139,24,24,25,24,26,26,,TJ,SYW,"AGR, SM, TJ",130-139
213,2025,Juneau,Medeia,14,M,Sublegal,121,139,24,25,24,24,24,25,,TJ,SYW,"AGR, SM, TJ",130-139
575,2025,St James Bay,Medeia,4,M,Sublegal,111,139,22,22,25,22,23,24,L1 REGENERATED,,,,130-139
119,2017,Excursion,Medeia,,M,Sublegal,115,140,24,25,24,24,26,25,,,,,140-149
72,2025,Juneau,Medeia,6,M,Sublegal,121,140,24,25,25,24,25,24,,AGR,SYW,"AGR, SM, TJ",140-149
182,2025,Juneau,Medeia,11,M,Sublegal,122,140,25,24,25,25,25,25,,TJ,SYW,"AGR, SM, TJ",140-149
198,2025,Juneau,Medeia,13,M,Sublegal,117,140,22,23,23,22,23,24,,TJ,SYW,"AGR, SM, TJ",140-149
224,2025,Juneau,Medeia,14,M,Sublegal,117,140,22,24,24,24,24,25,R1 REGENERATED,TJ,SYW,"AGR, SM, TJ",140-149
626,2025,St James Bay,Medeia,8,M,Sublegal,113,140,22,24,24,23,24,24,R1 REGENERATED,Y,,,140-149
